Assignment Name,Due Date,Number of Questions,Number of Points,Assignment Type,Hints Permitted,Attempts,LMS Link
Self-Assessment VM.1 Evaluating Information  Academic Integrity  and AI Use,8/23/2026 11:59 PM,15,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144555
Video Activity VM.1 Evaluating Information With SIFT,8/23/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144556
Knowledge Check VM.1,8/23/2026 11:59 PM,6,6,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144564
Data Activity VM.1 Analyzing Key Cheating Behaviors,8/23/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144557
Knowledge Check VM.2,8/23/2026 11:59 PM,5,5,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144566
Self-Assessment VM.2 AI Best Practices and Literacy Confidence Scale,8/23/2026 11:59 PM,12,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144558
Knowledge Check VM.3,8/23/2026 11:59 PM,5,5,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144568
Reading Activity VM.1 Sample AI Policy&#8212;Responsible Use in College Assignments,8/23/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144559
Knowledge Check VM.4,8/23/2026 11:59 PM,4,4,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144570
Chapter VM Critical Thinking Check,8/23/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144572
Self-Assessment 1.1 Test Your Knowledge,8/23/2026 11:59 PM,4,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144976
Knowledge Check 1.1,8/23/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144888
Knowledge Check 1.2,8/23/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144889
Knowledge Check 1.3,8/23/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144890
Knowledge Check 1.4,8/23/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144891
Reading Activity 1.1 You Decide: Koon v. United States,8/23/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144984
Knowledge Check 1.5,8/23/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144892
Knowledge Check 1.6,8/23/2026 11:59 PM,10,10,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144573
Chapter 1 Critical Thinking Check,8/23/2026 11:59 PM,6,6,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144576
Chapter 1 Quiz,8/23/2026 11:59 PM,15,15,Assigned for Grade,N,1,https://vantage.sagepub.com/ltiapi/29144577
Self-Assessment 2.1 Test Your Knowledge,8/30/2026 11:59 PM,6,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144581
Knowledge Check 2.1,8/30/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144583
Knowledge Check 2.2,8/30/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144585
Reading Activity 2.1 You Decide: State v. Bryan,8/30/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144587
Knowledge Check 2.3,8/30/2026 11:59 PM,3,3,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144588
Reading Activity 2.2 You Decide: Doe v. State,8/30/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144590
Knowledge Check 2.4,8/30/2026 11:59 PM,3,3,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144591
Reading Activity 2.3 You Decide: In re Ryan D,8/30/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144593
Knowledge Check 2.5,8/30/2026 11:59 PM,4,4,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144594
Knowledge Check 2.6,8/30/2026 11:59 PM,3,3,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144597
Reading Activity 2.4 You Decide: DiGiacinto v. Rector and Visitors of George Mason University,8/30/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144599
Knowledge Check 2.7,8/30/2026 11:59 PM,3,3,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144600
